titulli,id,kategoria
"Aubameyang posedon LaFerrarin milionësh, por puna e tij paguhet shumë",882533,CultBiz&Review
"Sot është një ndër modelet shqiptare më seksi e më të suksesshme, por shihni si dukej Oriola para se të bëhej e famshme!",882415,CultBiz&Review
Aq shumë e paska pëlqyer Kiara Tito këtë mashkull simpatik saqë e kishte edhe idhull,882402,CultBiz&Review
"U largua nga Shqipëria, Trejsi Sejdini realizon ëndrrën e saj, shihni ku është shfaqur!",882396,CultBiz&Review
Kjo është dhurata speciale e Bebe Rexhës për Rita Orën,882528,CultBiz&Review
Ushqehu shëndetshëm dhe qëndro larg kancerit me fruta arror,883098,Biznes
Me këto metoda largoni poret e zgjeruara nga fytyra,882814,Këshilla
Pamje të tmerrshme nga vjedhja në Istog: Hajnat e torturojnë pronarin e dyqanit,883527,Lajme
Wilder “gozhdon” Furyn para rimeçit,883519,Sport
​Presidenti Thaçi takim zyrtar me ambasadorin Grenell,883509,Lajme
Chelsea largon katër futbollistë,883504,Sport
Arrestohet kryesuesi i Bordit të Drejtorëve të Trafikut Urban në Prishtinë,883498,Lajme
"Për çka po hetohet zyrtari i MPB-së, Lufti Menxhiqi?",883476,Lajme
"Albin Kurti u organizoi koktej në ditën e tyre, ashkalinjët nuk i shkojnë",883484,Lajme
"Rruga Besi – Podujevë, me dinamikë të përshpejtuar të punimeve",883479,Lajme
"Thaçi lajmërohet nga Gjermania, tregon çfarë qëndrimi do të mbajë në Konferencën e Mynihut",883467,Lajme
Fotografia e Thaçit përfundon tek ulëset e PDK-së,883466,Lajme
Kuvendi voton formimin e 14 komisioneve parlamentare,883459,Lajme
"Pas ardhjes së Ziyech, këta janë katër futbollistët që do t’i largojë Chelsea",883452,Sport
U promovua monografia “Futbolli i Kosovës 1919-2019” i autorit Azem Brovina,883362,Sport
Ushtria amerikane përsëri aktivizon “V Corps”,883443,Bota
Në aeroport e Prishtinës janë kontrolluar 12 persona të dyshimtë për koronavirus,883438,Lajme
Dokumenti i Prokurorisë – Për çka po hetohet kryeinspektori i MPB-së Arben Mustafa?,883432,Lajme
"Flet gruaja që pretendon se u përplas nga Ilda Bejleri: Do e kisha falur, vetëm të ndalonte",883427,CultBiz&Review
Klea Huta e shqetësuar pasi dikush ka ndërhyrë në privatësinë e saj,883421,CultBiz&Review
PSD ia kujton Kurtit deklaratat e rënda të Albulena Haxhiut kur Shpend Ahmeti e takonte Hashim Thaçin,883417,Lajme
"Fero pozon i zhveshur nga banjo, zbulon tatuazhet që ka në trup",883415,CultBiz&Review
Wilder “gozhdon” Furyn para rimeçit,883519,Sport
Chelsea largon katër futbollistë,883504,Sport
U promovua monografia “Futbolli i Kosovës 1919-2019” i autorit Azem Brovina,883362,Sport
"Pas ardhjes së Ziyech, këta janë katër futbollistët që do t’i largojë Chelsea",883452,Sport
"Premier League: Rrezikohet anulimi i xhiros së ardhshme, kjo është arsyeja",883358,Sport
Zyrtare: Gjilani përforcohet me sulmuesin e krahut,883323,Sport
Zyrtare: Hakim Ziyech futbollist i Chelseat,883297,Sport
Letrat e dashurisë që Dritëroi i dërgonte Sadijes në vitet ’60,884229,Kulturë
"Jahjaga në Mynih, flet për barrierat gjinore të grave në pozita udhëheqëse",884232,Lajme
"U lansua më 2010, vetëm tani është përhapur në masë të madhe – disa fakte për “Coin Master”",884225,Biznes
Shefi i Facebook-ut “i lumtur që do t’i paguajë më shumë taksa Evropës“,884220,Biznes
Facebook po eksperimenton me një aplikacion të ngjashëm me Pinterest,884216,Biznes
Shfrytëzuesit e Apple Watch tani mund t’i dërgojë të dhënat e ushtrimeve direkt në Strava,884212,Biznes
Thirrje urgjente qeverisë Kurti,883882,OP-ED
"Koronavirusi, përfundon karantina për studenten Silva Doçi",884202,Lajme
Lajm i shkëlqyer për Real Madridin ,884204,Sport
Policia e Kosovës kërkon ndihmë për të kapur Bashkim Hotin,884193,Lajme
"​“Kosova e Serbia janë bllokuar, shkak elita politike e të dyja vendeve”",884196,Lajme
ATK suspendon dy zyrtarë që u kapën për marrje ryshfeti në Fushë Kosovë,884184,Lajme
Setien: Ja pse e grumbullova Manajn në skuadrën e parë,884188,Sport
Albini Kurti e Glauku Konjufca udhëtojnë për në Mynih bashkë me Hashimin,884179,Lajme
Kështu duket virusi kinez,884168,Bota
"Ditëlindja e Kosovës, Donald Trump ka një urim të veçantë",884165,Lajme
"Pamje të tmerrshme, momenti kur luani i detit kafshon 25-vjeçaren",884150,Bota
"PSD sulmon ashpër Kurtin: Po fshihet, ka zgjedhur “politikën e strucit”",884151,Lajme
"Policia kërkon ndihmën: Nëse e shihni këtë person, na lajmëroni menjëherë",884146,Lajme
Klopp jep lajmin e keq për Xherdan Shaqirin,884143,Sport
Lajm i shkëlqyer për Real Madridin ,884204,Sport
Setien: Ja pse e grumbullova Manajn në skuadrën e parë,884188,Sport
Klopp jep lajmin e keq për Xherdan Shaqirin,884143,Sport
Publikohet lista e Kombëtares së Kosovës,884117,Sport
Ja çfarë poston Vedat Muriqi për Shën Valentin ,884069,Sport
Ish futbollisti i Barcelonës: Messi i fsheh problemet e klubit,884018,Sport
Fury flet hapur: Ky boksier e ka grushtin më të fuqishëm,883945,Sport
Kjo është dita kur do të tërhiqet shorti për gjysmëfinalet e Kupës së Kosovës,883907,Sport
Lojtari i Barcelonës del hapur: Dua të luaj me Cristiano Ronaldon,883839,Sport
"Fitoi Sociedadi, kështu u vlerësua Januzaj",883780,Sport
"Dikur luante për Milanin e Juventusin, tash për ekipin në Serie C",883776,Sport
Sot prezantohet trajneri i Përfaqësueses së Kosovës,883769,Sport
Pioli nuk përmbahet pas barazimit ndaj Juventusit,883756,Sport
Ish gjyqtari italian tregon a ishte penalti rasti i Ronaldos,883748,Sport
Futbollisti shqiptar ndërron skuadër,883714,Sport
Milan e Juventus luajnë baras në ndeshjen e parë të Kupës,883701,Sport
Arteta flet rreth akuzave të Emery në drejtim të tij,883691,Sport
KB Peja kualifikohet në finale të Kupës së Kosovës,883666,Sport
Paratici flet për të ardhmen e Sarrit e Ronaldos,883633,Sport
"Formacionet zyrtare, AC Milan-Juventus",883600,Sport
Barr: Trumpi ma bënë punën të pamundur,883941,Bota
"Trump sulmon ish shefin e stafit, John Kelly",883937,Bota
"​“Është e detyrueshme të biesh në dashuri”, dhurata e veçantë e kryetarit të komunës për Shën Valentinë",883865,Bota
"Tragjike: Vajza 6 vjeçare që ishte rrëmbyer, gjendet e vdekur",883721,Bota
Karantinë totale – kështu i fusin autoritetet kineze në kuti izolimi qytetarët e preku nga virusi,883590,Bota
Kandidatët e moderuar diskualifikohen nga gara zgjedhore në Iran,883395,Bota
Bezos blen shtëpi në Los Angjelos me çmim rekord prej 165 milionë dollarëve,883382,Bota
Turqia do të përdorë dhunë kundër forcave të Assadit nëse e shkelin armëpushimit,883365,Bota
"Shkëmbim zjarri në qendër të Athinës, një person i vrarë",883353,Bota
Facebook bashkëpunon me Reutersin për verifikim të postimeve,883343,Bota
​Kim Jong-un ekzekuton zyrtarin për shkak të koronavirusit,883318,Bota
"Shkon në 1,350 numri i të vdekurve nga koronavirusi i ri",883310,Bota
Billie Eilish konfirmon performimin e kolonës zanore të James Bond në BRITs me një performancë orkestrale,883695,CultBiz&Review
"Jenniher Hudson nderon Kobe Bryant, do të performojë në ndeshjen e 16 shkurtit",883661,CultBiz&Review
Morena Taraku reagon sërish pas publikimit të bisedave,883658,CultBiz&Review
Zbulohet identiteti i vajzës që u shfaq në krahët e Capital T,883650,CultBiz&Review
"I kishin fshirë të gjitha fotot bashkë, Arbenita pozon sërish në krahët e Feros",883450,CultBiz&Review
"Sherr për një femër, reperi i njohur sulmon me gotë shampanje një person",883400,CultBiz&Review
Arbenita Ismajli e fotografon të dashurin zhveshur – foto,883384,CultBiz&Review
"“I love you more”, thërret aktorët në audicion",883276,CultBiz&Review
"Klienti nuk ka gjithmonë të drejtë, njihuni me kërkesat më absurde",883405,Këshilla
Arrestohet një person për armëmbajtje pa leje,885460,Lajme
Një i vrarë e katër të plagosur në një klub nate,885452,Bota
"Reagim i ashpër edhe nga OVL-UÇK-së në Pejë: Fatmire, ti assesi të largohesh nga tradita jugosllave",885448,Lajme
Qosja përkrah idenë Thaçi-Vuçiq për shkëmbim territoresh: Do të zgjidhej përgjithmonë problemi Kosovë – Serbi,885443,Lajme
Ekspozitë dhe aktivitete tjera për personalitet që ndikuan për Pavarësia e Kosovës,885438,Lajme
Borrelli jep sinjale se dialogu Kosovë – Serbi do të nisë shpejt,885434,Lajme
​Mattarella-Thaçit: Kosova mund të llogarisë në Italinë,885427,Lajme
"Përfundojnë pjesët e para: Drita – Gjilani, Flamurtari – Trepça’89, Dukagjini – Llapi",885426,Sport
​Elezi: S’ka ende asnjë aplikim për t’u certifikuar për zgjedhjet në Podujevë,885423,Lajme
"Kushërirat që dikur nuk flisnin, bashkë e bëjnë ‘nxehtë’ në një klub nate në Greqi",885418,CultBiz&Review
"Tolaj i AAK-së: Lavdërimi i Kurtit, përmes poshtërimit të UÇK-së duke cituar analistin serb, i turpshëm dhe i ulët njëkohësisht",885414,Lajme
​Sot pritet shpërndarja e Kuvendit të Maqedonisë së Veriut,885411,Lajme
Kurti merr mbështetjen kroate për liberalizim të vizave,885407,Lajme
Deputeti i VV-së: Nuk do të lejojmë të trajtohet prona publike si plaçkë,885404,Lajme
Ky është kandidati i Vetëvendosjes për kryetar të Podujevës,885401,Lajme
"Drita vs Gjilani, Flamurtari vs Trepça’89, Dukagjini vs Llapi",885394,Sport
Koreografia që po cilësohet si më e mira për Pavarësinë e Kosovës e bërë në sheshin e Prishtinës,885390,Lajme
Ministrja Haxhiu reagon pas arrestimit të oficerit që përdoruri marihuanë,885386,Lajme
Kurti tregon pse ka rezerva për marrëveshjet e nënshkruara në Mynih,885383,Lajme
"Aksident në autostradën Prishtinë-Fushë Kosovë, lëndohen rëndë katër persona",885379,Lajme
Mourinho flet për zhvillimet e fundit në Angli dhe për Tottenhamin në Champions,885371,Sport
Messi vazhdon të thyej rekorde negative,885333,Sport
Super derbi na pret sot në Superligë,885306,Sport
Klopp pyetet për dënimin e Cityt – ky është reagimi i tij,885277,Sport
Messi e Griezmann bëhen “horë” para Ter Stegen,885263,Sport
"Mane e kupton këtë gjë nga gazetari, ky është reagimi i tij epik",885253,Sport
‘NBA All Star’: Nuk bën t’i humbisni ngulitjet nga kjo garë spektakolare,885242,Sport
"Klopp: Diferenca me rivalët është e pabesueshme, nuk e kuptoj si e kemi bërë",885169,Sport
Klopp e tepron me këto fjalë për Juventusin,885143,Sport
Bashkimi fiton Kupën e Kosovës në basketboll,885091,Sport
Publikohen fotografi nga vendi i varrimit të Kobe Bryant dhe vajzës së tij ,885035,Sport
Skandal në Ligën Premiere,885023,Sport
Rey Manaj tërbon serbët,884897,Sport
Gani Sejdiu “shpërthen” pas humbjes së thellë nga Ballkani,884929,Sport
Trajneri i Atalantas: Guardiola më ka vjedhur planin e lojës së futbollit,884849,Sport
"Përfundojnë pjesët e para – Ballkani vs Drenica, Prishtina vs Vushtrria, Ferizajt vs Feronikeli",884838,Sport
"Gjilani forcon skuadrën me një futbollist, një ditë para ndeshjes me Dritën",884729,Sport
"Ballkani vs Drenica, Prishtina vs Vushtrria",884705,Sport
"Ylli – Peja, sonte luhet finalja e Kupës",884623,Sport
Guardiola: Do të jap dorëheqje,884605,Sport
"Vrau nënën, vëllain dhe plagosi babain, arrestohet 17-vjeçari",885282,Bota
"​Koronavirusi, 1669 viktima dhe mbi 69 000 të prekur në mbarë botën",885250,Bota
"Gjermania shpall armik Trumpin: Rendi botëror rrezikohet nga SHBA-ja, Kina e Rusia",885211,Bota
Lavrov thotë se fitorja e Assadit është “e pashmangshme” në Idleb,885190,Bota
Mbrojtja imunitare e lakuriqëve bën që viruset e tyre të jenë vrasëse për njerëzit,885179,Bota
"“Jam Greta Thunberg”, Bernie Sanders bie në kurthin e komikëve rusë",885161,Bota
Gazetarja qesh me lot kur lexon lajmin për rritjen e pensioneve,885109,Bota
"Koronaviursi, pse u shkarkuan dy zyrtarët e lartë në Kinë?",885100,Bota
"Erdogan e telefonon Trumpin, mësohen detajet e bisedës",885050,Bota
OBSH: Të gjitha vendet të jenë në gatishmëri – s’mund të parashikohet përhapja e koronavirusit,885047,Bota
Beqarët festojnë më mirë Shën Valentinin,885027,Bota
Fëmijët në Siri po vdesin nga acari,884960,Bota
Kina dezinfekton paratë për shkak të koronavirusit,884840,Bota
"Tanket e ushtrisë ruse formojnë zemrën, për propozimin e dashurisë",884843,Bota
"Të rinjtë çmenden për Shën Valentin, plasin skenat erotike në rrugë",884827,Bota
Konfirmohet vdekja e parë nga koronavirusi në Europë,884696,Bota
"143 viktima të tjera nga koronavirusi, Pekini merr një vendim",884530,Bota
"Zhduken 2 gazetarë në Kinë, tregonin të vërtetën për atë që ndodh në Wuhan",884466,Bota
"Banda futet në sallën e gjyqit dhe liron bosin, vriten policët",884399,Bota
Bashkëshortja i bën dedikim prekës Kobe Bryantit,885293,CultBiz&Review
Tuna dhe Patrisi i japin fund lidhjes?,885227,CultBiz&Review
"E njohu në “Facebook”, djali i shpreh live në studio dashurinë vajzës, por nuk i shkon siç e priste",885194,CultBiz&Review
"La AKR-në, Labi habit me deklaratën e tij për Behgjet Pacollin",885132,CultBiz&Review
“Ramush Haradinaj e ka zërin më të mirë se shumë artistë tjerë në skenë”,885121,CultBiz&Review
Labinot Tahiri habit me deklaratën e tij: Premtimi për heqjen e mjekrës ka qenë për gallatë,885095,CultBiz&Review
Labinot Tahiri e ‘bënë horë’ Taynan: Nuk i dëgjoj këto që nuk dinë me këndu,885086,CultBiz&Review
Labinot Tahiri flet për Donald Trump: Është si një gjysh i jemi,885079,CultBiz&Review
Labinot Tahiri këndon këngën më të re në mes të emisionit,885062,CultBiz&Review
"Martohen për Shën Valentin, burri i dhuron tortë me pen*s politikanes shqiptare",885015,CultBiz&Review
"Rina Balaj ndryshon totalisht pamjen, reperja mezi njihet",884996,CultBiz&Review
Lei Kraja tregon marrëdhënien me futbollistët: Dashurinë e vërtetë s’do ta refuzoja as nga një i panjohur,884958,CultBiz&Review
"E mbajti të fshehur gjatë, zbulohet kush është burri miliarder i Alketa Vjesiut",884939,CultBiz&Review
"U ndanë për një kohë të gjatë, ribashkohet çifti më i dashur i showbizit",884927,CultBiz&Review
Shyhrete Behluli rrëfehet me emocion: Kështu ma zuri babai fotografinë me Lulin,884892,CultBiz&Review
"Aspak dashuri, zbulohen letrat e Princit Filip për Princeshën Diana",884800,CultBiz&Review
"Bashkëshorti probleme me drejtësinë, Angela Martini shfaqet pas një viti krah tij",884778,CultBiz&Review
Tuna dhe Patrisi i japin fund lidhjes?,884776,CultBiz&Review
"Këngëtarët shqiptar të frymëzuar nga festa e dashurisë, 6 këngë u publikuan dje",884761,CultBiz&Review
Gjiko bën tatuazh për Elitën me domethënjen më të ëmbël,884675,CultBiz&Review
Letra juaj e preferuar do ju japë një mesazh nxitës për këtë moment të jetës,884920,Life
4 shenjat që dysheku dhe kolltuku juaj kanë insekte dhe ka ardhur koha t’i ndërroni,884848,Life
5 dhimbje shqetësuese që ju bëjnë të mendoni se keni probleme me dhëmbët,884830,Life
Ky është urimi për 12 vjetorin e pavarësisë nga Toni Kuka dhe kampionet e xhudos,886414,Sport
Molliqaj komenton vizitën e Kurtit te varri i Rugovës – ka një epitet për të,886411,Lajme
Ish-ministri Malaj fyen kosovarët që ndihmuan Durrësin: Italianët janë gjithë të parët që gjenden pranë nesh,886406,Lajme
Bërnabiq: Serbia do t’i japë 2 milionë euro nga zemra për Shqipërinë,886402,Lajme
Sërish tërmet në Shqipëri,886398,Lajme
"Eskalon një koncert në Pakistan, qytetarët futen me bileta të rrejshme",886394,Bota
“Shpërthen” një tjetër virus në Evropë – preket ky shtet,886390,Bota
Një gotë alkool në ditë ua ofron këto benefite jetës tuaj,886370,Lajme
"Kosova i fillon përgatitjet – deklarohen përzgjedhësi Marmarinos, Hajrizi e Kastrati",886375,Sport
​Thaçi: Ushtria e Kosovës synon objektiva të reja,886382,Lajme
Dënohet me burg të përjetshëm kosovari që shkaktoi aksidentin fatal në Gjermani,886291,Lajme
"Tayna publikon mesazhet private, çfarë mendon babai i saj kur ajo “çmendet” në koncerte",886371,CultBiz&Review
Ministri rus i Mbrojtjes vizitoi Serbinë – Vulin flet për ushtrinë e Kosovës,886365,Lajme
"Fjalimi që i ngriti të gjithë në këmbë, çka tha Rugova para shpalljes së Pavarësisë ",886317,Lajme
​Shikoni si fluturon me veturë vozitësja e dehur,886357,Bota
"Në ditë feste, zjarrfikësit e Kosovës në krye të detyrës",886349,Lajme
Plas skandali i radhës te Barcelona – klubi del me komunikatë,886352,Sport
Vajza bie nga dritarja në Brezovicë pasi tentoi të bënte video ‘perfekte’,886345,Lajme
Nesër mblidhet Kryesia e Kuvendit,886339,Lajme
Sabile Keçmezi merr çmimin Kombëtar Letrar për vepër jetësore “Azem Shkreli”,886334,Kulturë
Ky është urimi për 12 vjetorin e pavarësisë nga Toni Kuka dhe kampionet e xhudos,886414,Sport
"Kosova i fillon përgatitjet – deklarohen përzgjedhësi Marmarinos, Hajrizi e Kastrati",886375,Sport
Plas skandali i radhës te Barcelona – klubi del me komunikatë,886352,Sport
Futbollisti kosovar e merr lejen nga FIFA për të luajtur për Malajzinë,886274,Sport
Guardiola flet për herë të parë që kur Man City u dënua nga UEFA,886228,Sport
Lirim Kastrati firmos me Dinamon e Zagrebit,886190,Sport
Ky është orari i xhiros së 19-të – derbi në Podujevë,886168,Sport
Trajneri nga kampionati italian godet me shuplak lojtarin e vet,886145,Sport
"Presidenti i FFK-së, Ademi me mesazh të fuqishëm me rastin e përvjetorit të pavarësisë së Kosovës",886108,Sport
Lorik Cana me urim të veçantë për 12 vjetorin e Pavarësisë,886045,Sport
Superkompjuteri parashikon ndeshjet e 1/8-es në Ligën e Kampionëve,885974,Sport
Mbyllet ndeshja e yjeve në NBA,885928,Sport
"Manchester United në zi, ndërron jetë legjenda e klubit",885903,Sport
Debat i “nxehtë” mes Munishit e Lecit,885886,Sport
Klopp: Kjo skuadër dua ta fitojë titullin në Serie A,885878,Sport
"Eskalon kryetari i KB Rahovecit: Derisa të jem kryetar i klubit, asnjë tifoz i Yllit apo Pejës nuk do të shkelë në ‘Mizahir Isma’",885863,Sport
Rrahmani: “Besojmë në kualifikim në ‘Euro 2020’”,885837,Sport
Lazio e përmbys Interin dhe ngjitet në pozitën e dytë [Video],885803,Sport
Reali dështon në ‘Santiago Bernabeu’ – por ruan pozitën e liderit,885800,Sport
Kombëtarja e Kosovës nesër grumbullohet për ndeshjet para-kualifikuese të Botërorit,885715,Sport
Trump: Rusia të ndalojë mbështetjen e mizorive në Idlib,886101,Bota
Shanset për një marrëveshje gjithëpërfshirëse mes SHBA dhe Talebanëve,886097,Bota
Stoltenberg: BE nuk mundet pa NATO-n ta mbrojë Evropën,886092,Bota
"Konfiskohen 5,8 tonë rekorde të kokainës në Kostarikë",886066,Bota
Projekti i “çmendur” i Erdoganit – një kanal i ri që lidh Detin e zi dhe atë të Marmarasë,886059,Bota
Rouhani: Irani nuk do të gjunjëzohet para presionit amerikan,886029,Bota
Josep Borrell: BE duhet të dëshmojë “oreks për pushtet”,886025,Bota
Dy aeroplanë të mbushur me qindra shtetas amerikan janë larguar nga anija e lundrimit në Japoni,885980,Bota
"Orban: Evropa nuk është në Bruksel, nuk jemi të detyruar t’i pëlqejmë elitës së lodhur",886012,Bota
Zbulohet grupi që planifikonte sulme në xhami,886005,Bota
Goditet me raketa një bazë e koalicionit amerikan në Bagdad,885983,Bota
"Dikur priste personazhe të famshëm, sot një qytet “fantazmë” në Qipro",885858,Bota
"Fuqia e stuhisë Ciara në Skoci, era ngre në ajër ujëvarën",885821,Bota
"Mrekulli, foshnja e lindur nga nëna me koronavirus nuk mbart virusin vdekjeprurës",885807,Bota
"Ngjarje makabër në Greqi, ekzaminimi mjekësor zbulon abuzimin seksual tek foshnja e vdekur nga Siria",885682,Bota
​Shkencëtarët kinezë tregojnë origjinën e koronavirusit,885663,Bota
Koronavirusi: Shkencëtari parashikon numrin e frikshëm të vdekjeve në Mbretërinë e Bashkuar,885659,Bota
"Gjyshja takon për herë të parë njeri me ngjyrë, reagimi i saj bëhet hit në rrjetet sociale",885636,Bota
​OKB: Situata në Libi shumë shqetësuese,885586,Bota
Është 50-vjeçare por me këto fotografi Jennifer Lopez duket si 20 vjeçe,886086,CultBiz&Review
Genta Ismajli shtatzënë? Kjo foto dëshmon gjithçka,886030,CultBiz&Review
"Ledri Vula fotografohet gjysmë i zhveshur në banjo, porsa del nga dushi",885943,CultBiz&Review
"Zbulohet çmimi marramendës i fustanit të Marinës, ja vajzat e Hollywood-it që e kanë veshur",885910,CultBiz&Review
​Rita Ora ka një porosi për njerëzit,885784,CultBiz&Review
​Astrologu i princeshës Diana paralajmëron për Meghan,885773,CultBiz&Review
"Edhe në mbrëmjen e dedikuar të dashuruarve, Loredana kapet mat me reperin e njohur",885692,CultBiz&Review
Stresi po martohet?,885647,CultBiz&Review
"Ishte në arrati, bashkëshorti i Angela Martinit u dorëzohet autoriteteve",885611,CultBiz&Review
"Në prag të përvjetorit të Pavarësisë së Kosovës, Gold AG sjell këngën e re",885595,CultBiz&Review
Oriola Marashi vazhdon me provokimet e saj: Ja çfarë fjalësh formon me gjoksin e saj,885503,CultBiz&Review
A u nda nga Tuna? – Patrisi jep përgjigjen përfundimtare,885480,CultBiz&Review
Skeleti i kafshës misterioze gjendet në bregdet: A është ky përbindëshi Loh Ness,886038,Life
​Kini kujdes prej tyre: 5 manipuluesit më të mëdhenj në Zodiak,885769,Life
​Ushqimet që nuk guxoni t’i kombinoni,885765,Life
​Zbulohet misteri: Çfarë ëndërrojnë qentë?,885761,Life
